,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor
3333,HLTH,100-17,Its Your Health  Wellbeing,W,10:00:00,10:50:00,Lisa DuPree
3334,HLTH,100-18,Its Your Health  Wellbeing,W,10:00:00,10:50:00,Lisa DuPree
3335,HLTH,100-19,Its Your Health  Wellbeing,W,10:00:00,10:50:00,Lisa DuPree
3336,HLTH,100-20,Its Your Health  Wellbeing,W,10:00:00,10:50:00,Lisa DuPree
3337,HLTH,100-21,Its Your Health  Wellbeing,W,10:00:00,10:50:00,Lisa DuPree
3338,HLTH,100-22,Its Your Health  Wellbeing,W,10:00:00,10:50:00,Lisa DuPree
3339,HLTH,100-23,Its Your Health  Wellbeing,W,10:00:00,10:50:00,Lisa DuPree
3340,HLTH,100-24,Its Your Health  Wellbeing,W,10:00:00,10:50:00,Lisa DuPree
3341,HLTH,100-25,Its Your Health  Wellbeing,W,13:00:00,13:50:00,Lisa DuPree
3342,HLTH,100-26,Its Your Health  Wellbeing,W,13:00:00,13:50:00,Lisa DuPree
3343,HLTH,100-27,Its Your Health  Wellbeing,W,13:00:00,13:50:00,Lisa DuPree
3344,HLTH,100-28,Its Your Health  Wellbeing,W,13:00:00,13:50:00,Lisa DuPree
3345,HLTH,100-29,Its Your Health  Wellbeing,W,13:00:00,13:50:00,Lisa DuPree
3346,HLTH,100-30,Its Your Health  Wellbeing,W,13:00:00,13:50:00,Lisa DuPree
3347,HLTH,100-31,Its Your Health  Wellbeing,W,13:00:00,13:50:00,Lisa DuPree
3348,HLTH,100-32,Its Your Health  Wellbeing,W,13:00:00,13:50:00,Lisa DuPree
3349,HLTH,100-33,Its Your Health  Wellbeing,W,16:00:00,16:50:00,Lisa DuPree
3350,HLTH,100-34,Its Your Health  Wellbeing,W,16:00:00,16:50:00,Lisa DuPree
3351,HLTH,100-35,Its Your Health  Wellbeing,W,16:00:00,16:50:00,Lisa DuPree
3352,HLTH,100-36,Its Your Health  Wellbeing,W,16:00:00,16:50:00,Lisa DuPree
3353,HLTH,100-37,Its Your Health  Wellbeing,W,17:30:00,18:20:00,Lisa DuPree
3354,HLTH,100-38,Its Your Health  Wellbeing,W,17:30:00,18:20:00,Lisa DuPree
3355,HLTH,100-39,Its Your Health  Wellbeing,W,17:30:00,18:20:00,Lisa DuPree
3356,HLTH,100-40,Its Your Health  Wellbeing,W,17:30:00,18:20:00,Lisa DuPree
3357,HLTH,100-41,Its Your Health  Wellbeing,Th,8:30:00,9:20:00,Lisa DuPree
3358,HLTH,100-42,Its Your Health  Wellbeing,Th,8:30:00,9:20:00,Lisa DuPree
3359,HLTH,100-43,Its Your Health  Wellbeing,Th,8:30:00,9:20:00,Lisa DuPree
3360,HLTH,100-44,Its Your Health  Wellbeing,Th,8:30:00,9:20:00,Lisa DuPree
3361,HLTH,100-45,Its Your Health  Wellbeing,Th,10:00:00,10:50:00,Lisa DuPree
3362,HLTH,100-46,Its Your Health  Wellbeing,Th,10:00:00,10:50:00,Lisa DuPree
3363,HLTH,100-47,Its Your Health  Wellbeing,Th,10:00:00,10:50:00,Lisa DuPree
3364,HLTH,100-48,Its Your Health  Wellbeing,Th,10:00:00,10:50:00,Lisa DuPree
3365,HLTH,100-49,Its Your Health  Wellbeing,Th,16:00:00,16:50:00,Lisa DuPree
3366,HLTH,100-50,Its Your Health  Wellbeing,Th,16:00:00,16:50:00,Lisa DuPree
3367,HLTH,100-51,Its Your Health  Wellbeing,Th,16:00:00,16:50:00,Lisa DuPree
3368,HLTH,100-52,Its Your Health  Wellbeing,Th,16:00:00,16:50:00,Lisa DuPree
3369,HLTH,100-53,Its Your Health  Wellbeing,Th,17:30:00,18:20:00,Lisa DuPree
3370,HLTH,100-54,Its Your Health  Wellbeing,Th,17:30:00,18:20:00,Lisa DuPree
3371,HLTH,100-55,Its Your Health  Wellbeing,Th,17:30:00,18:20:00,Lisa DuPree
3372,HLTH,100-56,Its Your Health  Wellbeing,Th,17:30:00,18:20:00,Lisa DuPree
3373,HLTH,100-57,Its Your Health  Wellbeing,F,8:30:00,9:20:00,Lisa DuPree
3374,HLTH,100-58,Its Your Health  Wellbeing,F,8:30:00,9:20:00,Lisa DuPree
3375,HLTH,100-59,Its Your Health  Wellbeing,F,8:30:00,9:20:00,Lisa DuPree
3376,HLTH,100-60,Its Your Health  Wellbeing,F,8:30:00,9:20:00,Lisa DuPree
3377,HLTH,100-61,Its Your Health  Wellbeing,F,10:00:00,10:50:00,Lisa DuPree
3378,HLTH,100-62,Its Your Health  Wellbeing,F,10:00:00,10:50:00,Lisa DuPree
3379,HLTH,100-63,Its Your Health  Wellbeing,F,10:00:00,10:50:00,Lisa DuPree
3380,HLTH,100-64,Its Your Health  Wellbeing,F,10:00:00,10:50:00,Lisa DuPree
3381,HLTH,100-65,Its Your Health  Wellbeing,F,10:00:00,10:50:00,Lisa DuPree
3382,HLTH,100-66,Its Your Health  Wellbeing,F,10:00:00,10:50:00,Lisa DuPree
3383,HLTH,100-67,Its Your Health  Wellbeing,F,10:00:00,10:50:00,Lisa DuPree
3384,HLTH,100-68,Its Your Health  Wellbeing,F,11:30:00,12:20:00,Lisa DuPree
3385,HLTH,100-69,Its Your Health  Wellbeing,F,11:30:00,12:20:00,Lisa DuPree
3386,HLTH,100-70,Its Your Health  Wellbeing,F,11:30:00,12:20:00,Lisa DuPree
