,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor,Class location
1139,GER,101-4,Elementary German I,MW,1:00pm,2:15pm,Not Listed,MODERN LANGUAGE_128
1140,GER,101-5,Elementary German I,MW,11:30am,12:45pm,Frank Voigt,MODERN LANGUAGE_128
1141,GER,190-1,Freshman Seminar,TuTh,10:00am,11:15am,Paul Buchholz,Callaway Center S109
1142,GER,192R-1,Beginning Conversation,W,1:00pm,2:15pm,Not Listed,MODERN LANGUAGE_219
1143,GER,201-1,Intermediate German I,TuTh,10:00am,11:15am,Not Listed,Tarbutton Hall 218
1144,GER,201-2,Intermediate German I,TuTh,1:00pm,2:15pm,Not Listed,MODERN LANGUAGE_330/MODERN LANGUAGE_128
1145,GER,301-1,German Studies I,TuTh,2:30pm,3:45pm,Paul Buchholz,MODERN LANGUAGE_128
1146,GER,375-1,Spec Topics in German Studies,TuTh,10:00am,11:15am,Peter Hoeyng,MODERN LANGUAGE_128
1147,GER,375-2,Spec Topics in German Studies,MW,11:30am,12:45pm,Everet Smith,Anthropology Building 105
1148,GER,392R-1,German Conversation,W,11:30am,12:45pm,Not Listed,MODERN LANGUAGE_219
1149,GER,470-1,Topics in German Culture and Civilization,TuTh,1:00pm,2:15pm,Caroline Schaumann,1462 Clifton Rd 101
1150,GER,475-1,TopicsGerman Lit Translation,W,2:30pm,3:45pm,Elizabeth Goodstein,MODERN LANGUAGE_128
1151,ITAL,101-1,Language  Culture Elem I,MW,10:00am,11:15am,Not Listed,Online/Woodruff Library 215
1152,ITAL,101-2,Language  Culture Elem I,MW,11:30am,12:45pm,Not Listed,Online/Woodruff Library 215
1153,ITAL,101-3,Language  Culture Elem I,MW,2:30pm,3:45pm,Not Listed,Online/New Psyc Bldg 250 (36 Eagle Ro
1154,ITAL,101-4,Language  Culture Elem I,TuTh,10:00am,11:15am,Angela Porcarelli,Online/Callaway Center S102
1155,ITAL,101-5,Language  Culture Elem I,TuTh,11:30am,12:45pm,Angela Porcarelli,Online/Callaway Center S102
1156,ITAL,101-6,Language  Culture Elem I,MW,11:30am,12:45pm,Simona Muratore,Online/New Psyc Bldg 225 (36 Eagle Ro
1157,ITAL,101-7,Language  Culture Elem I,TuTh,1:00pm,2:15pm,Garrett Waters,Online/Candler Library 124
1158,ITAL,190-1,Freshmen Seminar Italian,MW,2:30pm,3:45pm,Christine Ristaino,Callaway Center S104
1159,ITAL,201-1,Language  Culture Inter I,MW,2:30pm,3:45pm,Achille Castaldo,Online/Candler Library 123
1160,ITAL,201-2,Language  Culture Inter I,MW,1:00pm,2:15pm,Christine Ristaino,Online/Callaway Center S104
1161,ITAL,301W-1,Language  Culture Adv I,TuTh,11:30am,12:45pm,Garrett Waters,Candler Library 124
1162,ITAL,341-1,Topics in Italian Cinema,MW,11:30am,12:45pm,Achille Castaldo,White Hall 102/Woodruff Library 875
1163,ITAL,365-1,Sustainable Food and Italy,MW,2:30pm,3:45pm,Simona Muratore,New Psyc Bldg 230 (36 Eagle Ro
1164,ITAL,375-1,Tops in Ital Lit in Trans,MW,2:30pm,3:45pm,Simona Muratore,New Psyc Bldg 230 (36 Eagle Ro
1165,ITAL,470W-1,Topics in Italian Literature,TuTh,1:00pm,2:15pm,Angela Porcarelli,Callaway Center S102
1208,EHS,730-1,Computational Systems Biology Modeling Biological Responses,Th,1:00pm,2:50pm,Qiang Zhang,Grace Crum Rollins TBA
1209,EHS,747-1,Advanced Environmental Epidemiology,W,1:00pm,2:50pm,Kyle Steenland,Grace Crum Rollins TBA
1210,EHS,790R-1,Research Design and Management,M,9:00am,9:50am,William Caudle,Grace Crum Rollins TBA
1218,PERS,101-1,Elementary Persian I,MWF,10:00am,11:15am,Hossein Samei,
